track_popularity,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_songs,popular,genre_pop,genre_rap,genre_dance pop,genre_hip hop,genre_pop rap,genre_rock,genre_r&b,genre_trap,genre_urban contemporary,genre_southern hip hop,genre_modern rock,genre_electro,genre_edm,genre_canadian pop,genre_house
71,79,0.689,0.774,9.0,65.0,1.0,0.0278,8.72e-05,0.0,0.0941,0.25,102.054,236600.0,3,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
69,52,0.427,0.843,4.0,65.0,1.0,0.0364,0.00216,0.0,0.179,0.304,147.387,200480.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,69,0.654,0.515,0.0,108.0,1.0,0.0261,0.429,5.62e-06,0.174,0.677,106.191,170493.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
67,61,0.432,0.936,3.0,65.0,0.0,0.0562,0.00691,0.0,0.14,0.499,157.469,303920.0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,51,0.675,0.607,11.0,54.0,1.0,0.162,0.0302,8.97e-06,0.339,0.56,177.928,335613.0,1,False,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
67,67,0.832,0.699,5.0,80.0,0.0,0.209,0.202,0.0,0.131,0.853,96.652,245867.0,2,False,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0
67,52,0.571,0.953,8.0,74.0,1.0,0.0548,0.0011,0.000606,0.226,0.601,137.965,233600.0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,71,0.66,0.707,6.0,76.0,1.0,0.208,0.397,0.0,0.211,0.761,89.279,268800.0,1,False,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
67,54,0.783,0.649,7.0,61.0,1.0,0.0322,0.0209,0.00482,0.067,0.665,103.997,206093.0,1,False,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,66,0.717,0.733,4.0,69.0,1.0,0.0427,0.0398,0.0,0.136,0.713,119.996,292307.0,1,False,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
